PC1	PC2	Batch	Group
-24.5780902746983	67.0245431726721	GSE13355	PP
-96.1637901272176	-46.9604595249676	GSE13355	PP
-127.175257513856	-60.1872175321439	GSE13355	PP
-84.1273217475952	-3.55664412882819	GSE13355	PP
-26.3580356865091	-26.693979123039	GSE13355	PP
-62.1353936753393	37.6600760380266	GSE13355	PP
18.9932013991666	84.3017814321186	GSE13355	PP
-35.3383656805292	-27.4479393657478	GSE13355	PP
-56.7054175580079	37.1388157383108	GSE13355	PP
0.558295266371358	53.6013794830771	GSE13355	PP
14.0351916667564	55.397930299003	GSE13355	PP
-55.6173939251319	-4.19896292996042	GSE13355	PP
-83.8238705245964	2.36081775004245	GSE13355	PP
10.8220370121599	-23.2334201738717	GSE13355	PP
-55.4776523050301	50.9035635679634	GSE13355	PP
-19.9966391371665	50.3367542859324	GSE13355	PP
-77.8448637247873	40.4979363114799	GSE13355	PP
-113.034539849131	-15.1709309163416	GSE13355	PP
-65.2880462729361	-7.77521492333239	GSE13355	PP
-54.9172707505022	21.4934814508904	GSE13355	PP
-24.4576758983009	51.7083354924323	GSE13355	PP
-40.366063642983	20.8255940905102	GSE13355	PP
-20.8662831890371	48.8248346493167	GSE13355	PP
-30.9357688602182	19.0764547949174	GSE13355	PP
-37.3078300547171	36.6855240711957	GSE13355	PP
12.4888236385484	60.142901074825	GSE13355	PP
-87.1842912294018	-5.80215234993358	GSE13355	PP
-17.1194355724648	1.12752928618598	GSE13355	PP
-51.2280074119053	68.8355680618175	GSE13355	PP
40.9344423062303	75.1249292102829	GSE13355	PP
-36.5079585564819	37.5748432789918	GSE13355	PP
13.2727005880891	26.8605681692687	GSE13355	PP
3.1185692743028	17.4059012060576	GSE13355	PP
-46.9156227239422	-0.806754780738073	GSE13355	PP
18.8395026423018	66.9605489073687	GSE13355	PP
-49.1484457024634	0.729868383436982	GSE13355	PP
-4.97288529580472	44.9882829006359	GSE13355	PP
-64.8462608809325	6.8358743725319	GSE13355	PP
-13.3596103398765	-20.1503935218074	GSE13355	PP
8.5619467276777	27.4076583107805	GSE13355	PP
-58.6461207768038	73.4160228866739	GSE13355	PP
-6.62368380348164	110.819133678654	GSE13355	PP
-68.000273136387	-56.0452665685485	GSE13355	PP
-42.646094415977	20.9599515770397	GSE13355	PP
-25.6130741561683	37.125702138884	GSE13355	PP
-45.2771694118859	-5.09818322384603	GSE13355	PP
-66.9786613928922	47.8533720435551	GSE13355	PP
63.8927409676701	-4.25917530995733	GSE14905	NN
66.3081604279827	-50.1117299965124	GSE14905	NN
74.6258724552046	-63.8813661019407	GSE14905	NN
82.4814364971016	-36.1921546703439	GSE14905	NN
79.6868013386382	-3.80007550685542	GSE14905	NN
-13.8780921573727	-41.1660456251627	GSE14905	NN
81.5080024350527	23.6330889174864	GSE14905	NN
52.5929883708405	9.64038656709095	GSE14905	NN
62.7414731923324	-44.6596627097774	GSE14905	NN
39.942444759835	-24.2295839202966	GSE14905	NN
91.6975646600007	8.47359767933965	GSE14905	NN
83.137421898275	-8.04453000115661	GSE14905	NN
84.1937897275336	1.55222922623769	GSE14905	NN
45.3055538427376	31.3849856252568	GSE14905	NN
54.4175670248561	32.0807548108562	GSE14905	NN
49.4122536252392	-16.8832617816157	GSE14905	NN
70.7248108022336	3.76765613811092	GSE14905	NN
13.0382294750901	-54.7326263637143	GSE14905	NN
74.4722843539733	-25.3312639096483	GSE14905	NN
60.5537668117775	-53.866119849342	GSE14905	NN
43.958966673438	-34.691554129419	GSE14905	NN
-8.46281967478638	8.92286718716667	GSE14905	PP
-7.94029671191306	33.359307960743	GSE14905	PP
-26.1008359141523	-39.8979386272317	GSE14905	PP
-3.31605710907093	31.7952642348057	GSE14905	PP
-76.9822918337127	-3.74533100514396	GSE14905	PP
-61.7995563372154	27.7993319229533	GSE14905	PP
-89.1261746454207	4.94587183941046	GSE14905	PP
-65.5121788638211	28.8060520048105	GSE14905	PP
-33.8132889072793	-1.75746465610516	GSE14905	PP
-11.8411332976504	-5.31504000427888	GSE14905	PP
-58.1504395823842	32.6015849900646	GSE14905	PP
-56.428108116051	17.827124765622	GSE14905	PP
-15.9728314021112	-15.3023691051425	GSE14905	PP
-8.10481098276801	4.68690743439437	GSE14905	PP
-87.6678624716041	-13.765097764923	GSE14905	PP
-43.1530878325644	23.3341224232835	GSE14905	PP
-110.90581373076	-4.52504559392291	GSE14905	PP
-90.5143158304696	9.00949827428028	GSE14905	PP
-64.571609222248	17.483800656991	GSE14905	PP
-63.3430034914155	33.3251418837391	GSE14905	PP
-73.0329807002283	-1.49420189510599	GSE14905	PP
-32.7572840361275	37.7010101842129	GSE14905	PP
-19.9282033699187	7.37602600963846	GSE14905	PP
19.7429433486103	11.4574808460891	GSE14905	PP
-76.8486406802819	2.26222115011333	GSE14905	PP
-21.9840665196283	37.6813864605761	GSE14905	PP
-44.5085868421161	49.6985639058068	GSE14905	PP
-46.0961216013853	37.3406233463636	GSE14905	PP
-64.52654265425	21.72009710392	GSE14905	PP
-32.4757223142344	49.1520649029653	GSE14905	PP
-22.2539020605928	18.4341476873631	GSE14905	PP
-85.5824298988664	-27.0285889319485	GSE14905	PP
-31.4007473143866	13.6026965799653	GSE14905	PP
-56.8251723407833	25.1940310679663	GSE78097	PP
-66.1630390325363	0.853608879421466	GSE78097	PP
