"sample","PC1","PC2","PC3","group","database"
"GSE13355|GSM337357",26.6059038194737,27.0490176714132,-0.395100769966391,"PP","GSE13355"
"GSE13355|GSM337358",62.8038462237282,-16.9278679851536,-30.9560350757304,"PP","GSE13355"
"GSE13355|GSM337359",7.8943163061315,-19.9792035846732,-49.5145785062524,"PP","GSE13355"
"GSE13355|GSM337360",51.9619508945718,-30.8187905408739,-18.6741791447892,"PP","GSE13355"
"GSE13355|GSM337361",17.3411340169377,-23.3122492577129,-28.0690653511313,"PP","GSE13355"
"GSE13355|GSM337362",18.1977929163125,-29.7847942504887,-13.3672497439769,"PP","GSE13355"
"GSE13355|GSM337363",47.8895498333411,-31.5509424393199,-4.26116558230518,"PP","GSE13355"
"GSE13355|GSM337364",13.4458596420704,-18.3981308928835,-39.3769976223806,"PP","GSE13355"
"GSE13355|GSM337365",53.8070266066058,-31.6969126041352,-1.04091357653578,"PP","GSE13355"
"GSE13355|GSM337366",35.1564775935372,-31.2041772721364,-31.9256443596737,"PP","GSE13355"
"GSE13355|GSM337367",62.1753707954659,-30.3660239674586,-7.15798739645093,"PP","GSE13355"
"GSE13355|GSM337368",21.8380548483997,-29.1485366476827,-3.31229352656612,"PP","GSE13355"
"GSE13355|GSM337369",16.9314256456267,-34.4280913948744,-22.5232059937627,"PP","GSE13355"
"GSE13355|GSM337370",73.931374538209,-19.4508672085821,-32.953516547134,"PP","GSE13355"
"GSE13355|GSM337371",43.2677031565712,7.10019850544804,-53.283276310769,"PP","GSE13355"
"GSE13355|GSM337372",54.6402436100688,-34.3572604924295,11.8835214519898,"PP","GSE13355"
"GSE13355|GSM337373",57.9285544903652,-25.8280264803819,-11.3525393807106,"PP","GSE13355"
"GSE13355|GSM337374",41.8000547050069,-22.6776178720491,-18.4030958236556,"PP","GSE13355"
"GSE13355|GSM337375",45.0919717482545,-32.8035804782758,-5.01000309126382,"PP","GSE13355"
"GSE13355|GSM337376",72.3450311573183,-32.0046310819161,-19.4432353483995,"PP","GSE13355"
"GSE14905|GSM372286",-55.589562417772,-14.9666019302621,-6.13158656807532,"NN","GSE14905"
"GSE14905|GSM372287",-65.4213165064445,9.71159295472914,12.9013733696358,"NN","GSE14905"
"GSE14905|GSM372288",-74.9654517133916,7.65301332242486,14.4940448354544,"NN","GSE14905"
"GSE14905|GSM372289",-77.40934429556,-1.31923505984503,0.481525350221503,"NN","GSE14905"
"GSE14905|GSM372290",-64.0708585666969,7.06142061920392,0.832410548820179,"NN","GSE14905"
"GSE14905|GSM372291",6.69314339071424,21.5788396849888,15.9186566500789,"NN","GSE14905"
"GSE14905|GSM372292",-51.1997465506077,15.6698013448872,-8.40366263809012,"NN","GSE14905"
"GSE14905|GSM372293",-33.9340358008181,15.3647378466241,9.44149646508371,"NN","GSE14905"
"GSE14905|GSM372294",-54.7833517023843,15.6767382554055,9.34411180236137,"NN","GSE14905"
"GSE14905|GSM372295",-39.0987498310947,29.2195254098975,11.259102195549,"NN","GSE14905"
"GSE14905|GSM372296",-64.6049409508992,18.8571185445322,-4.04149543953485,"NN","GSE14905"
"GSE14905|GSM372297",-56.6788017316957,19.0971441470623,-0.623252593273986,"NN","GSE14905"
"GSE14905|GSM372298",-58.013052346626,12.1781950401656,-9.30303234350064,"NN","GSE14905"
"GSE14905|GSM372299",-21.2972523198466,10.0765223574142,-11.3096089319407,"NN","GSE14905"
"GSE14905|GSM372300",-30.4962857459364,0.99911911433287,-5.11598924551606,"NN","GSE14905"
"GSE14905|GSM372301",-39.4148868385943,12.1287090065336,9.23345549261164,"NN","GSE14905"
"GSE14905|GSM372302",-50.0506909014171,12.632773653814,-1.33498273787766,"NN","GSE14905"
"GSE14905|GSM372303",-22.4402952415421,12.3825425168098,25.8138554482853,"NN","GSE14905"
"GSE14905|GSM372304",-57.7611028168051,7.96284864383941,2.5358374392668,"NN","GSE14905"
