Gene	Drug	ConceptID	IScore	InteractionTypes	Directions	Sources	PMIDs
BCL2	DOCETAXEL ANHYDROUS	rxcui:1299922	0.007670261322198874			TdgClinicalTrial	
BCL2	MULTIDRUG RESISTANCE MODULATOR	ncit:C1744	0.6366316897425065			NCI	15503311
BCL2	PELCITOCLAX	ncit:C148488	0.3183158448712532			TTD	
BCL2	ISOTRETINOIN	rxcui:6064	0.1193684418267199			NCI	10621853,10638174
BCL2	LYSOZYME	ncit:C1925	0.4244211264950043			NCI	9492007
BCL2	EDARAVONE	rxcui:1921877	0.1273263379485013			TTD	
BCL2	SR8278	iuphar.ligand:2904	0.6366316897425065	inhibitor	INHIBITORY	GuideToPharmacology	
BCL2	FOSBRETABULIN DISODIUM	ncit:C2503	0.0748978458520596			NCI	12171907
BCL2	GSK4112	iuphar.ligand:2903	0.2122105632475021	agonist	ACTIVATING	GuideToPharmacology	
BCL2	VALPROIC ACID	rxcui:11118	0.02233795402605286			NCI	9098922
BCL2	TRAIL	iuphar.ligand:5065	0.1273263379485013			NCI	12730676,14977850
BCL2	VINCRISTINE	rxcui:11202	0.00785965049064823			PharmGKB	
BCL2	CAELYX	wikidata:Q29004943	0.3183158448712532			NCI	10914739
BCL2	FAS LIGAND	iuphar.ligand:5078	0.106105281623751			NCI	10432288
BCL2	OBATOCLAX MESYLATE	ncit:C62771	0.106105281623751	inhibitor	INHIBITORY	ChEMBL	
BCL2	RECOMBINANT INTERLEUKIN	ncit:C593	0.181894768497859			NCI	2538824
BCL2	GOSSYPOL	ncit:C529	0.01326316020296888			TTD	
BCL2	RALTITREXED	ncit:C1804	0.6366316897425065			NCI	10785598
BCL2	STREPTOZOCIN	rxcui:10114	0.0276796386844568			NCI	16741044
BCL2	SR9009	iuphar.ligand:8901	0.2122105632475021	agonist	ACTIVATING	GuideToPharmacology	
BCL2	4-PHENYLBUTYRIC ACID	rxcui:1546447	0.06366316897425064			NCI	10696460
BCL2	TAZAROTENE	rxcui:83947	0.1157512163168193			NCI	16109552
BCL2	BCL-2 INHIBITOR BCL201	ncit:C125603	0.3183158448712532			TTD	
BCL2	ENDOTHELIN RECEPTOR ANTAGONIST	ncit:C28313	0.4244211264950043			NCI	16741044
BCL2	URSODIOL	rxcui:11065	0.07957896121781331			NCI	9141420
BCL2	DOXORUBICIN HYDROCHLORIDE	rxcui:142433	0.008603130942466305			NCI	16749867
ADIPOQ	NEVIRAPINE	rxcui:53654	1.186449967247398			NCI	15305892
ADIPOQ	FENOFIBRATE MICRONIZED	rxcui:221100	1.003919203055491			NCI	17194889
ADIPOQ	INSULIN, REGULAR, HUMAN	rxcui:253182	0.4924886656498635			NCI	16567542
ADIPOQ	SPIRONOLACTONE	rxcui:9997	1.631368704965172			NCI	17142138
